Rank,Name,Weight Class,Record,Age,Location,Wins,Losses,Draws,Total Fights,Win Percentage,Region,Country,LAT,LON
987,Abraham Montoya,light,20 4 1,28.0,"Mexicali, Baja California, Mexico",20,4,1,25,80.0,"Mexicali, Baja California", Mexico,23.66004355414432,-101.24187469092759
988,"Juan Antonio 
 Rodriguez",super light,32 9 0,34.0,"Puebla, Puebla, Mexico",32,9,0,41,78.0,"Puebla, Puebla", Mexico,24.108905837573964,-101.66782484787446
989,"Phoobadin 
 Yoohanngoh",super light,15 0 0,18.0,"Bangkok, Thailand",15,0,0,15,100.0,Bangkok, Thailand,14.916675026493635,101.18333437450416
990,Liam Taylor,welter,25 2 1,31.0,"Middleton, Lancashire, United Kingdom",25,2,1,28,89.3,"Middleton, Lancashire", United Kingdom,54.797602488791355,-2.8748864125615348
991,Fadhili Majiha,super fly,29 14 4,29.0,"Dar-Es-Salaam, Tanzania",29,14,4,47,61.7,Dar-Es-Salaam, Tanzania,-6.019969203003266,36.52218723521704
992,"Francis Villar 
 Frometa",light,17 0 0,27.0,Dominican Republic,17,0,0,17,100.0,Dominican Republic,,45.418595868560274,7.059940384880737
992,"Francis Villar 
 Frometa",light,17 0 0,27.0,Dominican Republic,17,0,0,17,100.0,Dominican Republic,,46.82469304533138,10.805780066162757
993,Ramon Averanga,super bantam,11 2 0,30.0,"La Paz, Bolivia",11,2,0,13,84.6,La Paz, Bolivia,-16.801177218754784,-65.21693870999161
994,"Cristian Cruz 
 Chacon",feather,20 6 0,25.0,"Tijuana, Baja California, Mexico",20,6,0,26,76.9,"Tijuana, Baja California", Mexico,23.858093612119916,-102.35226763544166
995,Erick Rosa,minimum,5 0 0,22.0,"Santo Domingo, Dominican Republic",5,0,0,5,100.0,Santo Domingo, Dominican Republic,19.859675291206326,-70.84393184444444
996,"Luis Rosario 
 Villafane",feather,16 1 1,29.0,"Cidra, Puerto Rico",16,1,1,18,88.9,Cidra, Puerto Rico,17.898395759293628,-66.07548708846586
997,"Cesar Soriano 
 Lozada",welter,20 3 0,26.0,"Mexico City, Distrito Federal, Mexico",20,3,0,23,87.0,"Mexico City, Distrito Federal", Mexico,23.592649247476306,-102.10999504951275
998,Lusizo Manzana,fly,10 1 0,25.0,"East London, Eastern Cape, South Africa",10,1,0,11,90.9,"East London, Eastern Cape", South Africa,-28.613272351663657,25.899559398527693
999,Flavius Biea,super welter,21 1 0,33.0,"Timisoara, Romania",21,1,0,22,95.5,Timisoara, Romania,47.372189846713795,24.174903435541918
1000,"Alejandro Jair 
 Gonzalez",bantam,12 5 2,22.0,"Mexico City, Distrito Federal, Mexico",12,5,2,19,63.2,"Mexico City, Distrito Federal", Mexico,23.296925663283233,-101.77456603240293
